domain,practice_id,short_id,level,title,description
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A29,,Article 29 – Preliminary assessment of ICT concentration risk at entity level,"Placeholder for Article 29."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A30,,Article 30 – Key contractual provisions,"Placeholder for Article 30."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A31,,Article 31 – Designation of critical ICT third-party service providers,"Placeholder for Article 31."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A32,,Article 32 – Structure of the Oversight Framework,"Placeholder for Article 32."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A33,,Article 33 – Tasks of the Lead Overseer,"Placeholder for Article 33."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A34,,Article 34 – Operational coordination between Lead Overseers,"Placeholder for Article 34."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A35,,Article 35 – Powers of the Lead Overseer,"Placeholder for Article 35."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A36,,Article 36 – Exercise of the powers of the Lead Overseer outside the Union,"Placeholder for Article 36."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A37,,Article 37 – Request for information,"Placeholder for Article 37."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A38,,Article 38 – General investigations,"Placeholder for Article 38."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A39,,Article 39 – Inspections,"Placeholder for Article 39."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A40,,Article 40 – Ongoing oversight,"Placeholder for Article 40."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A41,,Article 41 – Harmonisation of conditions enabling the conduct of the oversight activities,"Placeholder for Article 41."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A42,,Article 42 – Follow-up by competent authorities,"Placeholder for Article 42."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A43,,Article 43 – Oversight fees,"Placeholder for Article 43."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A44,,Article 44 – International cooperation,"Placeholder for Article 44."
Information-sharing arrangements,Information-sharing arrangements,DORA.A45,,Article 45 – Information-sharing arrangements on cyber threat information and intelligence,"Placeholder for Article 45."
Competent authorities,Competent authorities,DORA.A46,,Article 46 – Competent authorities,"Placeholder for Article 46."
Competent authorities,Competent authorities,DORA.A47,,Article 47 – Cooperation with structures and authorities established by Directive (EU) 2022/2555,"Placeholder for Article 47."
Competent authorities,Competent authorities,DORA.A48,,Article 48 – Cooperation between authorities,"Placeholder for Article 48."
Competent authorities,Competent authorities,DORA.A49,,Article 49 – Financial cross-sector exercises, communication and cooperation,"Placeholder for Article 49."
Competent authorities,Competent authorities,DORA.A50,,Article 50 – Administrative penalties and remedial measures,"Placeholder for Article 50."
Competent authorities,Competent authorities,DORA.A51,,Article 51 – Exercise of the power to impose administrative penalties and remedial measures,"Placeholder for Article 51."
Competent authorities,Competent authorities,DORA.A52,,Article 52 – Criminal penalties,"Placeholder for Article 52."
Competent authorities,Competent authorities,DORA.A53,,Article 53 – Notification duties,"Placeholder for Article 53."
Competent authorities,Competent authorities,DORA.A54,,Article 54 – Publication of administrative penalties,"Placeholder for Article 54."
Competent authorities,Competent authorities,DORA.A55,,Article 55 – Professional secrecy,"Placeholder for Article 55."
Competent authorities,Competent authorities,DORA.A56,,Article 56 – Data Protection,"Placeholder for Article 56."
Delegated acts,Delegated acts,DORA.A57,,Article 57 – Exercise of the delegation,"Placeholder for Article 57."
Transitional and final provisions,Transitional and final provisions,DORA.A58,,Article 58 – Review clause,"Placeholder for Article 58."
Transitional and final provisions,Transitional and final provisions,DORA.A59,,Article 59 – Amendments to Regulation (EC) No 1060/2009,"Placeholder for Article 59."
Transitional and final provisions,Transitional and final provisions,DORA.A60,,Article 60 – Amendments to Regulation (EU) No 648/2012,"Placeholder for Article 60."
Transitional and final provisions,Transitional and final provisions,DORA.A61,,Article 61 – Amendments to Regulation (EU) No 909/2014,"Placeholder for Article 61."
Transitional and final provisions,Transitional and final provisions,DORA.A62,,Article 62 – Amendments to Regulation (EU) No 600/2014,"Placeholder for Article 62."
Transitional and final provisions,Transitional and final provisions,DORA.A63,,Article 63 – Amendment to Regulation (EU) 2016/1011,"Placeholder for Article 63."
Transitional and final provisions,Transitional and final provisions,DORA.A64,,Article 64 – Entry into force and application,"Placeholder for Article 64."
