short_id,practice_id,domain,level,title,description
SEC.GOV.2,SEC.GOV.2,Security & Safety,2,Basic policies and senior sponsorship,"Core security policies exist and are approved by senior leadership. A nominated security leader or CISO role is in place, even if part time. Policies are communicated, but enforcement and measurement are limited."
SEC.GOV.3,SEC.GOV.3,Security & Safety,3,Risk based security governance,"Security governance is built around a risk register, with regular reviews and clear ownership of key risks. Policies link to practical controls and are aligned with legal and regulatory requirements. Security is represented in key change and design forums."
SEC.GOV.4,SEC.GOV.4,Security & Safety,4,Integrated security and business decision making,"Security risk is considered alongside financial, operational and reputational risk in decision forums. Business units understand their role in managing security. Exceptions to policy are tracked, time bound and justified by risk."
SEC.GOV.5,SEC.GOV.5,Security & Safety,5,"Systemic, ecosystem aware security governance","Governance recognises dependencies on partners, suppliers and shared platforms. The organisation contributes to sector or national security initiatives where relevant. Scenario exercises and threat intelligence inform strategic risk decisions, not just control checklists."
SEC.IAM.1,SEC.IAM.1,Security & Safety,1,Shared accounts and weak authentication,Shared admin accounts and local credentials are common. Password policies are basic or inconsistently applied. Multi factor authentication is rare.
SEC.IAM.2,SEC.IAM.2,Security & Safety,2,Central directory for core systems,"A central identity store exists for employees and is used by key applications. Basic role based access is in place. Multi factor authentication is enabled for some higher risk access, such as remote admin."
SEC.IAM.3,SEC.IAM.3,Security & Safety,3,Standardised identity and access lifecycle,"Joiner, mover and leaver processes are defined and integrated with HR events. Most systems use central identity and single sign on. Privileged access is restricted, logged and reviewed regularly."
SEC.IAM.4,SEC.IAM.4,Security & Safety,4,"Strong, adaptive access controls",Multi factor authentication is the norm for privileged and remote access. Access reviews are risk based and automated where possible. Conditional access and just in time elevation are used for sensitive operations.
SEC.IAM.5,SEC.IAM.5,Security & Safety,5,Identity as a security and resilience control plane,"Identity is used as a consistent control plane across on premises, cloud and SaaS. The organisation monitors and tunes identity signals to detect abuse and unusual patterns. Plans exist to maintain access control in the face of identity provider outages or compromises."
SEC.DETECT.1,SEC.DETECT.1,Security & Safety,1,Local logs with limited review,"Systems generate logs, but they are stored locally or in separate tools. Security relevant events are rarely reviewed unless after an incident. There is no central view of suspicious activity."
SEC.DETECT.2,SEC.DETECT.2,Security & Safety,2,Central logging for key systems,Logs from critical infrastructure and applications are collected centrally. A few basic correlation rules and dashboards exist. Analysts mainly search manually during investigations.
SEC.DETECT.3,SEC.DETECT.3,Security & Safety,3,Defined detection use cases and alerting,"The organisation maintains a set of high value detection use cases such as privileged misuse, unusual data access and policy violations. Alerts are tuned to reduce noise and routed to an operations or security team. Playbooks exist for common alerts."
SEC.DETECT.4,SEC.DETECT.4,Security & Safety,4,Threat informed and behaviour based detection,Detections are informed by current threat intelligence and real incidents. Behaviour and anomaly based techniques complement rule based alerts. Coverage is regularly assessed against reference models or frameworks.
SEC.DETECT.5,SEC.DETECT.5,Security & Safety,5,Continuous improvement of detection coverage,"Detection quality is measured through tests, simulations and purple team exercises. Gaps are fed into a roadmap and addressed in a structured way. Detection content and telemetry are adjusted as the environment and threat landscape evolve."
SEC.IR.1,SEC.IR.1,Security & Safety,1,Ad hoc security incident handling,"Security incidents are handled as general IT issues. There is no specific playbook, classification scheme or crisis escalation path. External reporting obligations may be missed."
SEC.IR.2,SEC.IR.2,Security & Safety,2,Basic security incident response plan,"A documented incident response plan exists, covering roles, high level steps and regulatory reporting triggers. The security team coordinates most security incidents, but not all staff know how to contact them quickly."
SEC.IR.3,SEC.IR.3,Security & Safety,3,Structured security incident management,"Incidents are classified by type and severity, with clear workflows. Evidence handling, containment, eradication and recovery steps are defined. After action reviews are held for serious incidents, with actions tracked."
SEC.IR.4,SEC.IR.4,Security & Safety,4,Crisis management and stakeholder engagement,"Security incidents that could affect customers, regulators or the public are handled through an integrated crisis management process. Communication plans and decision thresholds are rehearsed. The organisation maintains relationships with external partners such as law enforcement or national bodies where appropriate."
SEC.IR.5,SEC.IR.5,Security & Safety,5,Proactive preparation and exercising,"Regular tabletop and technical exercises test response to realistic attack scenarios, including supply chain incidents and data extortion. Lessons learned influence controls, architecture and contracts. The organisation can demonstrate improved response times and reduced impact over time."
SEC.BUILD.1,SEC.BUILD.1,Security & Safety,1,Security considered late in development,Security issues tend to surface during testing or after go live. Developers rely on general awareness rather than specific secure coding standards. Configuration is often managed manually.
SEC.BUILD.2,SEC.BUILD.2,Security & Safety,2,Basic secure coding guidance and reviews,"Secure coding guidelines exist and are shared with developers. Code reviews touch on security, for example avoiding obvious injection or hard coded secrets. Some static analysis tools may be used, but findings are not always triaged."
SEC.BUILD.3,SEC.BUILD.3,Security & Safety,3,Integrated security testing in pipelines,Static and dynamic security tests are integrated into build or deployment pipelines for key applications. Libraries and dependencies are scanned for known vulnerabilities. Security findings are triaged and tracked to closure.
SEC.BUILD.4,SEC.BUILD.4,Security & Safety,4,Secure by design and configuration as code,"Security requirements are captured during design, including data classification and access controls. Infrastructure and configuration are managed as code, reviewed and tested. Threat modeling is performed for higher risk systems."
SEC.BUILD.5,SEC.BUILD.5,Security & Safety,5,"Continuous, collaborative secure engineering",Security engineers and developers work together throughout the lifecycle. Patterns and reusable components simplify secure implementation. The organisation measures and improves the time from vulnerability discovery to remediation across its estate.
SEC.DATA.1,SEC.DATA.1,Security & Safety,1,Limited view of sensitive data,Sensitive data is known in some systems but there is no complete map. Classification is ad hoc and labels are inconsistent. Controls vary by application.
SEC.DATA.2,SEC.DATA.2,Security & Safety,2,Basic data classification and handling rules,Data is classified into a small number of categories with associated handling rules. Some systems enforce encryption at rest and in transit. Staff receive awareness training on handling sensitive data.
SEC.DATA.3,SEC.DATA.3,Security & Safety,3,Consistent protection across key data stores,"Sensitive data locations are documented for core systems. Encryption, access control and logging are consistently applied for these stores. Data retention and disposal rules are implemented for some data sets."
SEC.DATA.4,SEC.DATA.4,Security & Safety,4,Lifecycle management and privacy by design,"Data lifecycle is considered during design, including minimisation, retention and deletion. Privacy impact assessments are performed where required. Data protection controls are tested and monitored."
SEC.DATA.5,SEC.DATA.5,Security & Safety,5,Adaptive data protection and ethics,"Data protection measures adapt to emerging threats and regulatory changes. The organisation considers ethical use of data, not just legal compliance. Cross functional teams review high risk data uses and can show how harm to individuals and society is mitigated."
SEC.THIRD.1,SEC.THIRD.1,Security & Safety,1,Limited view of supplier security risk,Supplier selection focuses on price and functionality. Security is mentioned in contracts but not examined in depth. There is little understanding of how third parties affect overall resilience.
SEC.THIRD.2,SEC.THIRD.2,Security & Safety,2,Basic security clauses in contracts,Standard security and confidentiality clauses appear in most new contracts. Higher risk suppliers may be asked to complete a questionnaire. Ongoing assurance is rare and often manual.
SEC.THIRD.3,SEC.THIRD.3,Security & Safety,3,Tiered supplier risk management,Suppliers are categorised by criticality and data sensitivity. Due diligence requirements and monitoring are defined per tier. Some suppliers provide independent assurance reports or certifications.
SEC.THIRD.4,SEC.THIRD.4,Security & Safety,4,Integrated third party resilience oversight,"The organisation tracks dependencies on cloud, SaaS and outsourced providers and understands the impact of their failure. Contracts include resilience, incident notification and testing expectations. Supplier incidents are included in internal reporting."
SEC.THIRD.5,SEC.THIRD.5,Security & Safety,5,Collaborative supply chain security,"The organisation collaborates with key suppliers and peers on threat information, incident exercises and improvement programs. It evaluates concentration risk and plans for alternative suppliers or failover where appropriate. Supply chain resilience is part of strategic planning."
ADAPT.SENSE.1,ADAPT.SENSE.1,Adaptability & Creativity,1,Change awareness driven by individuals,"Awareness of new threats, technologies or regulations depends on individual interest. There is no structured way to share or act on this information. Responses are reactive when change hits."
ADAPT.SENSE.2,ADAPT.SENSE.2,Adaptability & Creativity,2,Basic horizon scanning in some teams,"Some teams follow industry news, vendor briefings or government alerts. Insights are occasionally shared in meetings or emails. There is no systematic link to risk or strategy."
ADAPT.SENSE.3,ADAPT.SENSE.3,Adaptability & Creativity,3,Structured horizon scanning and risk input,"A regular process exists to review external developments such as threat reports, regulations and technology trends. Outcomes feed into risk registers, roadmaps and training plans. Responsibilities for scanning are defined."
ADAPT.SENSE.4,ADAPT.SENSE.4,Adaptability & Creativity,4,Cross functional foresight and scenario thinking,"Business, technology and risk functions jointly consider how changes could affect services and customers. Scenario workshops explore plausible futures. Output informs investment and architecture choices."
ADAPT.SENSE.5,ADAPT.SENSE.5,Adaptability & Creativity,5,Continuous sensing and strategic adaptation,"The organisation has feedback loops from incidents, customers, regulators and partners that inform strategy. It can give examples where early sensing of change led to proactive moves that improved resilience or created advantage."
ADAPT.EXP.1,ADAPT.EXP.1,Adaptability & Creativity,1,Experiments are rare and informal,Trying new tools or ways of working is difficult due to process or risk concerns. Experiments happen in isolated pockets and are not shared. Failure is often discouraged.
ADAPT.EXP.2,ADAPT.EXP.2,Adaptability & Creativity,2,Small pilots with limited structure,"Teams sometimes run pilots or proofs of concept, usually with vendor support. These are documented in basic terms. Success criteria and learning capture are inconsistent."
ADAPT.EXP.3,ADAPT.EXP.3,Adaptability & Creativity,3,Defined approach to safe experimentation,"There is a clear way to run safe to try experiments, including guardrails for data, security and customer impact. Experiments have hypotheses and success measures. Outcomes are shared beyond the immediate team."
ADAPT.EXP.4,ADAPT.EXP.4,Adaptability & Creativity,4,Portfolio of resilience oriented experiments,"A portion of capacity is reserved for experiments that could improve resilience, such as new observability, automation or architecture patterns. Results influence standards and roadmaps. Leadership supports learning from experiments that did not deliver expected benefits."
ADAPT.EXP.5,ADAPT.EXP.5,Adaptability & Creativity,5,Experimentation embedded in ways of working,Continuous experimentation is part of product and platform teams’ normal work. The organisation can show a track record of scaling experiments into production improvements and retiring unhelpful approaches quickly.
ADAPT.LEARN.1,ADAPT.LEARN.1,Adaptability & Creativity,1,Lessons rarely captured from incidents,"After incidents or near misses, fixes are applied but formal learning is minimal. The same types of issues recur. Knowledge remains in individuals’ heads."
ADAPT.LEARN.2,ADAPT.LEARN.2,Adaptability & Creativity,2,Basic post incident reviews,Some incidents have a short review meeting or document. Actions are identified but may not be tracked systematically. Focus is often on blame rather than system learning.
ADAPT.LEARN.3,ADAPT.LEARN.3,Adaptability & Creativity,3,"Structured, blameless learning practices","Post incident reviews use a standard template focused on contributing factors and system behaviour. Actions are recorded, owned and tracked. Near misses and success stories are also discussed where time allows."
ADAPT.LEARN.4,ADAPT.LEARN.4,Adaptability & Creativity,4,Shared learning across teams and domains,"Insights from reviews are shared across teams and domains, for example via brown bag sessions or internal reports. Patterns and themes are identified and addressed in roadmaps, training or policy updates."
ADAPT.LEARN.5,ADAPT.LEARN.5,Adaptability & Creativity,5,Continuous learning culture,"Learning from incidents, changes and experiments is highly valued and visible in leadership behaviour. The organisation can show how lessons have led to changes in systems, contracts and structures that reduced risk over time."
ADAPT.SCEN.1,ADAPT.SCEN.1,Adaptability & Creativity,1,No regular scenario exercises,The organisation relies on real incidents to test its resilience. Staff have limited practice responding to complex or cross team events.
ADAPT.SCEN.2,ADAPT.SCEN.2,Adaptability & Creativity,2,Occasional tabletop exercises,"Some tabletop exercises are run for compliance or training, often focused on a single scenario like ransomware. Feedback is captured but follow up may be limited."
ADAPT.SCEN.3,ADAPT.SCEN.3,Adaptability & Creativity,3,Planned scenario and stress testing program,"There is a schedule of scenario exercises covering different impact types such as cyber, cloud outage and data breach. Exercises involve relevant functions and suppliers where possible. Actions and gaps are documented and tracked."
ADAPT.SCEN.4,ADAPT.SCEN.4,Adaptability & Creativity,4,"Realistic, cross ecosystem exercising","Scenarios are designed around realistic, multi party events such as sector wide disruptions or simultaneous failures. Technical and business responders participate together. Exercise findings influence strategy, architecture and contracts."
ADAPT.SCEN.5,ADAPT.SCEN.5,Adaptability & Creativity,5,Continuous scenario refinement and innovation,"Scenario design evolves based on emerging risks, threat intelligence and lessons from real incidents. The organisation helps shape industry or national level exercising where relevant. Progress can be evidenced through improved response metrics and reduced surprises."
ADAPT.CULT.1,ADAPT.CULT.1,Adaptability & Creativity,1,Siloed teams and limited collaboration,"Teams work within narrow boundaries. Cross functional collaboration on resilience topics is rare. Psychological safety is low, so people may hide issues."
ADAPT.CULT.2,ADAPT.CULT.2,Adaptability & Creativity,2,Some cross team initiatives,"There are occasional cross functional projects or working groups, often driven by specific incidents or audits. Training on resilience topics is available but not widespread."
ADAPT.CULT.3,ADAPT.CULT.3,Adaptability & Creativity,3,Established cross functional forums,"Regular forums bring together product, operations, security and risk to discuss resilience topics. Training plans address key skills such as incident command, observability and secure design. Staff feel more comfortable raising concerns."
ADAPT.CULT.4,ADAPT.CULT.4,Adaptability & Creativity,4,Resilience minded culture and leadership,"Leaders talk about and reward behaviours that support resilience, such as early risk raising and collaborative problem solving. Stories of good practice are shared. Cross functional communities of practice exist for key themes."
ADAPT.CULT.5,ADAPT.CULT.5,Adaptability & Creativity,5,"Adaptive, learning oriented organisation","The organisation is comfortable adapting roles, processes and structures when needed. People at different levels can describe how their work contributes to resilience. Collaboration extends beyond the organisation to partners, customers and regulators."
AUDIT.LOG.1,AUDIT.LOG.1,Auditability,1,Inconsistent logging of key actions,"Some systems log important events, but there is no standard. Logs are often overwritten or hard to access. It can be difficult to reconstruct who did what and when."
AUDIT.LOG.2,AUDIT.LOG.2,Auditability,2,Central log storage for important systems,"Logs from key infrastructure and applications are retained in central storage for a defined period. Access is controlled. However, log quality and coverage vary and are not routinely reviewed."
AUDIT.LOG.3,AUDIT.LOG.3,Auditability,3,Standardised audit logging for critical activities,"Critical actions such as access changes, configuration updates and data exports are consistently logged with sufficient detail. Log schemas and retention are defined. Teams can demonstrate how they would retrieve evidence for a given time period or user."
AUDIT.LOG.4,AUDIT.LOG.4,Auditability,4,Evidence capture integrated into processes,"Systems and workflows are designed to capture evidence automatically for approvals, exceptions and key business decisions. Logs and records are linked to tickets or cases. Auditors and investigators can self serve common evidence sets."
AUDIT.LOG.5,AUDIT.LOG.5,Auditability,5,Proactive evidence readiness,"Evidence needs for regulators, customers and internal assurance are anticipated and designed in. The organisation tests its ability to produce evidence under time pressure. Logging and record keeping adapt when new systems or regulations are introduced."
AUDIT.TRACE.1,AUDIT.TRACE.1,Auditability,1,Limited end to end traceability,It is hard to trace a transaction or data item across systems. Investigations rely on manual correlation and staff knowledge. Data lineage is mostly undocumented.
AUDIT.TRACE.2,AUDIT.TRACE.2,Auditability,2,Basic tracing for some processes,For some key processes there are diagrams or documents showing which systems are involved. Logs may include shared identifiers that can be used to piece together a path.
AUDIT.TRACE.3,AUDIT.TRACE.3,Auditability,3,Defined traceability for critical journeys,Critical customer and regulatory journeys have defined identifiers that follow them through systems. Tools or standard queries exist to reconstruct these journeys from logs and databases. Data lineage is documented for key data sets.
AUDIT.TRACE.4,AUDIT.TRACE.4,Auditability,4,Tool supported tracing and investigations,"Observability, logging and case management tools provide near real time tracing for important flows. Investigations use standard playbooks and repeatable queries. Findings are reproducible and can be shared with external parties if needed."
AUDIT.TRACE.5,AUDIT.TRACE.5,Auditability,5,System wide traceability as a design principle,New services are required to support traceability and lineage standards. The organisation can show accurate end to end views of complex processes across internal and external systems. Traceability supports both resilience investigations and business optimisation.
AUDIT.ASSET.1,AUDIT.ASSET.1,Auditability,1,Incomplete asset and configuration records,"Hardware, software and cloud assets are recorded in multiple, inconsistent lists. Some critical systems may not be fully documented. Configuration changes are not tracked centrally."
AUDIT.ASSET.2,AUDIT.ASSET.2,Auditability,2,Basic asset inventory for key environments,"An inventory exists for critical servers, networks and cloud accounts. Ownership is recorded, but accuracy and completeness are not regularly verified. Configuration data is captured in some tools."
AUDIT.ASSET.3,AUDIT.ASSET.3,Auditability,3,Managed asset and configuration baseline,"The organisation maintains a reasonably complete inventory of assets, including cloud resources and key SaaS services. Configuration baselines exist for important platforms. Changes are tracked and can be reported over time."
